Artist(s) Name,Track Name
MEYOU , ภาวนา
Indigo , ถ้าฉันเป็นเขา
WANYAi , เจ็บจนพอ (Enough)
Ink Waruntorn , ดีใจด้วยนะ(Glad)
Zom Marie; LAZYLOXY , รางวัลปลอบใจ
THE TOYS , ลาลาลอย (100%)
THE TOYS , พูดไม่ออก
THE TOYS , 4:00
THE TOYS; F.HERO , นอนได้แล้ว
Pop Pongkool , พรุ่งนี้ค่อย... (CHEAT DAY)
WANYAi , ไปได้ดี (So Long)
Stamp , แอบดี (How to live without you)
Three Man Down , ฝนตกไหม
Pop Pongkool , ภาพจำ
Safeplanet , คำตอบ ( Answer )
LAZYLOXY; OG-ANIC; URBOYTJ , TMRW
Stamp , "ทั้งจำทั้งปรับ (Jailhouse rap) feat. YOUNGOHM, KARN The Parkinson"
THE TOYS , ก่อนฤดูฝน - Special Version
THE TOYS , Stars
Room 39 , เป็นทุกอย่าง
Whal & Dolph , ไม่รู้ทำไม
WANYAi , หัวหิน (Huahin Loop)
WANYAi; ปู่จ๋าน ลองไมค์ , ลืมไป (Blind) [feat. ปู่จ๋าน ลองไมค์]
Zom Marie; Oat Pramote , โลกอีกใบ (feat. โอ๊ต ปราโมทย์)
Better Weather , ยังไม่รู้ (I Don't Know)
MEAN Band , หมายความว่าอะไร
Palmy , ซ่อนกลิ่น
MEAN Band , พอเถอะ
BOWKYLION , ลงใจ
Room 39 , อย่าให้ฉันคิด
Better Weather , แค่เท่านั้น
Blue Shade , อยากเจอ - Reason of Loneliness
The Parkinson , ไปเถอะ
MEAN Band , เป็นอดีต
MEAN Band , สตรอง
Room 39 , ความจริง
Room 39 , Restart
Oat Pramote , เมื่อวาน
THE TOYS , TOY - Special Version
Mirrr , ชาคริส (Try?) feat.T-BIGGEST
Mirrr , นิโคติน
Wan Thanakrit , เดคิสุงิ
Ink Waruntorn , เกี่ยวกันไหม(You?)
Ink Waruntorn , ความลับมีในโลก(Secret)
Marc Tatchapon , ยังคิดถึง...(Same)
Room 39; โป่ง หินเหล็กไฟ , บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)
P-Hot; YOUNGOHM , Bye Bye
NONT TANONT , ฝืนตัวเองไม่เป็น
NONT TANONT , มีผลต่อหัวใจ
NAP A LEAN , ไม่คิดถึงเลย
GUNGUN , วาฬเกยตื้น
Oat Pramote , คิดถึงจัง (มาหาหน่อย)
Tilly Birds , คิด(แต่ไม่)ถึง (Same Page?)
BOWKYLION , คิดถึงแต่
Zom Marie , หรือฉันคิดไปเอง
Marc Tatchapon , ฉันต้องคิดถึงเธอแบบไหน(BOXX FROM HOME)
SCRUBB , ใกล้
The Parkinson , แค่นี้...พอ
SCRUBB , ทุกอย่าง
Ink Waruntorn , เธอบอกว่าฉันไม่ดี(BOXX FROM HOME)
Ink Waruntorn , ลบไม่ได้ช่วยให้ลืม (Erase)
MEAN Band; MILLI; Pae Sax Mild; WANWANWAN , "ดูออก (feat. MILLI, Pae Sax Mild & ว่าน วันวาน)"
Three Man Down , ฝันถึงแฟนเก่า
BOWKYLION , ยิ้มมา
F.HERO; Tilly Birds , จำเก่ง
OG-ANIC; LAZYLOXY , เป็นไรไหม?
SERIOUS BACON , วังวน(BOXX FROM HOME)
SERIOUS BACON , พี่ๆ ตัดแว่นให้หน่อย
First Anuwat , ถ้าเขาจะรัก (ยืนเฉยๆเขาก็รัก)
SERIOUS BACON , ไม่อยากฟัง
Ink Waruntorn , อยากเริ่มต้นใหม่กับคนเดิม (repeat)
Sqweez Animal , คำบางคำ
Whal & Dolph , ใจสลาย
URBOYTJ , ถามคำ
URBOYTJ; Oat Pramote , อยู่ก่อน
URBOYTJ , กอดได้ไหม
Pop Pongkool; feat. AUTTA , มนุษย์เอ๋ย (HUMAN ERROR)
Pop Pongkool , ปล่อย
Pop Pongkool , Happy Ending
Jaonaay , ดึกแล้วอย่าเพิ่งกลับ
SCRUBB , กลัว (18th edited)
LAZYLOXY , Morning
Ink Waruntorn , รอหรือพอ(STAY)
MEAN Band , เหมาะสม
YOUNGOHM , ก่อนนอนคืนนี้
Ninja; LAZYLOXY; FRVNKY , ยังไง
Polycat , ข่าวดี
THE TOYS , ไวน์ลดา
F.HERO; Txrbo , จำเลยรัก - Defendant Of Love
Maiyarap; MILLI , แฟนใหม่หน้าคุ้น
Three Man Down , เลือกคนที่เขารักเรา
URBOYTJ , ช่วยไม่ได้
ROOFTOP; AUTTA , คนเราจะแอบรักใครสักคนได้นานแค่ไหน
Three Man Down; Tilly Birds , ความคิดถึงที่ฉันได้เคยส่งไปในคืนที่ฝนโปรยลงมา
Three Man Down , ถ้าเธอรักฉันจริง
Lipta , เจอแต่คนใจร้าย feat. Ink Waruntorn
WANYAi , เงา (Silhouette)
Ink Waruntorn , สายตาหลอกกันไม่ได้ (Eyes don't lie)
Morvasu; TangBadVoice , Melbourne
