Artist(s) Name,Track Name
JVKE , this is what falling in love feels like
LF SYSTEM , Afraid To Feel
Does , Kept The Lights On
Stephen Sanchez , Until I Found You
Amaarae; Kali Uchis; MOLIY , SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)
KXNG LVX , Montagem Spirits
24kGoldn; iann dior , Mood (feat. iann dior)
Jack Harlow , First Class
CKay , love nwantiti (ah ah ah)
Homeward , I Don't Need Your Love
ALTÉGO; Britney Spears; Ginuwine , Toxic Pony
The King Khan & BBQ Show , Love You So
Charlie Puth; Jung Kook; BTS , Left and Right (Feat. Jung Kook of BTS)
New West , Those Eyes
Ellie Goulding; Speed Radio , Lights - Sped Up Version
Beach Weather , "Sex, Drugs, Etc."
Frank Ocean , Lost
RAYE; 070 Shake , Escapism. - Sped Up
Eliza Rose; Interplanetary Criminal , B.O.T.A. (Baddest Of Them All)
Wotts , ALOHA!
Rosa Linn , SNAP
NewJeans , Super Shy
Travis Scott , sdp interlude
Flo Milli , Never Lose Me
ILLIT , Magnetic
SZA , Saturn
Disco Lines , Baby Girl
Teddy Swims , Lose Control
Lil Nas X , MONTERO (Call Me By Your Name)
Alanna Patricio , Moonstruck
Beyoncé , TEXAS HOLD 'EM
Mac Miller; Empire Of The Sun , The Spins
¥$; Kanye West; Ty Dolla $ign; Rich The Kid; Playboi Carti , CARNIVAL
Dasha , Austin
Madison Beer , make you mine
Lay Bankz , Tell Ur Girlfriend
Tom Santa , Rainfall (Praise You)
Hotel Ugly , Shut up My Moms Calling
Miley Cyrus , Flowers
Allison Amber Hage , Captured My Heart
J. Cole , No Role Modelz
Mark Ambor , Belong Together
Charli xcx; Billie Eilish , Guess featuring billie eilish
Surf Curse , Disco
Addison Rae , Diet Pepsi
Clairo , Juna
Hanumankind; Kalmi , Big Dawgs
The Weeknd , Die For You
Substax , Jumpa
BLACKPINK , JUMP
Muni Long , Made For Me
M.I.A. , Paper Planes
SZA , BMF
adore , did i tell u that i miss u
Gigi Perez , Sailor Song
Bad Bunny , DtMF
Jimin , Who
The Weeknd; Playboi Carti , Timeless (feat Playboi Carti)
cassö; RAYE; D-Block Europe , Prada
Lil Uzi Vert , Just Wanna Rock
LISA; Doja Cat; RAYE , Born Again (feat. Doja Cat & RAYE)
Coldplay , Yellow
Jain , Makeba
Selena Gomez; benny blanco , Bluest Flame
"Tyler, The Creator; GloRilla; Sexyy Red; Lil Wayne" , "Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)"
Paul Russell , Lil Boo Thang
Tate McRae , Sports car
Sam Austins , Seasons
Yeah Yeah Yeahs , Maps
